,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5
0,239,236,245,279,280
1,240,238,246,281,281
2,242,239,247,281,282
3,244,240,248,282,282
4,246,243,250,283,283
5,249,245,253,284,284
6,251,248,256,285,285
7,255,252,259,286,287
8,258,255,263,287,288
9,262,259,267,289,290
10,265,262,269,290,292
11,268,265,272,292,294
12,271,267,274,295,296
13,272,270,275,299,299
14,274,270,277,302,303
15,275,272,278,306,307
16,276,273,279,310,312
17,278,274,280,314,316
18,279,276,282,318,319
19,281,277,283,322,322
20,281,278,284,325,325
21,283,280,285,327,328
22,285,282,287,331,331
23,286,283,289,334,334
24,288,284,290,336,336
25,289,286,292,338,339
26,290,287,293,340,341
27,292,288,295,342,343
28,293,289,297,343,344
29,294,291,298,346,346
30,295,292,299,346,347
31,296,293,301,348,349
32,297,294,302,349,351
33,298,295,303,350,351
34,300,296,305,351,352
35,301,297,306,352,353
36,302,299,307,352,354
37,303,300,308,354,354
38,305,301,310,354,356
39,305,302,310,355,356
40,306,304,312,356,356
41,308,305,313,356,357
42,309,306,314,357,358
43,311,307,316,357,358
44,312,308,317,358,359
45,313,310,318,359,359
46,314,312,319,359,360
47,316,313,321,360,361
48,317,314,322,360,361
49,319,316,324,361,361
50,320,317,325,361,361
51,322,319,326,361,361
52,323,321,328,362,362
53,325,323,330,362,363
54,327,324,332,363,364
55,328,326,332,364,363
56,329,328,333,363,363
57,331,328,335,363,364
58,332,330,336,363,364
59,334,332,338,364,365
60,335,334,339,365,365
61,336,334,340,364,365
62,337,336,341,364,365
63,338,337,341,365,366
64,340,338,343,365,366
65,340,339,343,365,366
66,341,339,344,365,365
67,343,340,345,365,366
68,343,341,346,365,366
69,344,342,346,365,367
70,345,343,347,365,366
71,346,344,349,365,366
72,346,344,349,366,366
73,346,345,349,366,366
74,348,346,351,366,366
75,348,346,350,366,366
76,348,347,351,366,367
77,349,347,352,365,367
78,350,348,353,366,367
79,350,349,353,366,367
80,350,349,353,366,367
81,351,350,353,366,367
82,352,351,354,366,367
83,352,351,355,367,367
84,353,351,355,366,367
85,353,352,355,367,367
86,354,352,356,366,367
87,353,352,356,366,367
88,355,353,358,367,368
89,355,354,357,367,368
90,355,354,358,367,368
91,355,354,358,367,367
92,356,354,358,367,367
93,356,355,358,367,367
94,356,355,359,367,367
95,357,355,359,367,367
96,357,355,359,367,368
97,357,356,360,367,368
98,357,356,360,367,368
99,358,356,360,367,368
100,358,357,361,367,368
101,359,357,361,367,368
102,358,357,361,367,368
103,359,358,361,367,368
104,359,358,362,368,368
105,359,358,361,367,368
106,359,358,362,367,367
107,360,359,362,367,368
108,360,359,362,367,368
109,360,359,362,367,368
110,360,359,363,368,368
111,361,360,363,368,368
112,361,360,363,368,368
113,361,359,363,367,368
114,361,360,363,367,368
115,362,360,363,367,368
116,361,361,364,368,368
117,361,361,364,368,368
118,362,360,364,367,368
119,362,360,364,367,368
120,362,361,364,368,368
121,362,362,365,368,368
122,362,361,365,367,368
123,362,361,365,367,368
124,363,361,365,367,368
125,363,361,365,367,368
